INFO  - 2014-09-27 21:28:01.750; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.750; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-09-27 21:28:01.750; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-09-27 21:28:01.752; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/dist/solr-velocity-4.5.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.974; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-09-27 21:28:01.980; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_45
INFO  - 2014-09-27 21:28:02.147; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-09-27 21:28:02.156; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-09-27 21:28:02.255; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-09-27 21:28:02.994; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-09-27 21:28:03.092; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-27 21:28:03.102; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-27 21:28:03.266; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-09-27 21:28:03.274; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\project\solr-4.5.1\example\solr\collection1\, dataDir=C:\project\solr-4.5.1\example\solr\collection1\data\
INFO  - 2014-09-27 21:28:03.275; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-09-27 21:28:03.280; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-09-27 21:28:03.280; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-09-27 21:28:03.296; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\project\solr-4.5.1\example\solr\collection1\data
INFO  - 2014-09-27 21:28:03.296; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\project\solr-4.5.1\example\solr\collection1\data\index/
WARN  - 2014-09-27 21:28:03.297; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\project\solr-4.5.1\example\solr\collection1\data\index' doesn't exist. Creating new index...
